mu,PV_simple,PV_ver,imp_scatt
0.0,-3.763671787116276e-23,3.757920217432783e-11,-9.768486331935064
0.05,2.5642598989143858e-23,3.503223900234944e-11,-9.775896064701355
0.1,1.1415092453231782e-22,2.9491987162320866e-11,-9.880343454510959
0.15,-3.019209235818551e-23,2.7510749603033927e-11,-9.875396199792089
0.2,9.760731228125727e-23,2.4218142047785418e-11,-9.921693097150921
0.25,-3.101927297073854e-23,1.771615856136197e-11,-10.149155694533372
0.3,-4.5288138537278265e-23,1.068467932734502e-11,-10.576140017731651
0.35,2.90547190159251e-23,3.751851903524228e-12,-11.626380341583761
0.4,9.098986738083304e-24,1.2871828048529703e-12,-12.786842666921322
0.45,-3.980806697911446e-24,4.805022671592498e-13,-13.912298973997352
0.5,-7.677270060257788e-24,1.9036170089402248e-13,-15.003041813037314
0.55,6.242628685361131e-24,6.637771775172635e-14,-16.322831684651906
0.6,-1.6802106192483375e-24,2.199193324404619e-14,-17.74060161814517
0.65,-3.35719006422889e-24,8.705545609281815e-15,-18.736248113576963
0.7,-4.643197422807425e-24,3.9330243980289965e-15,-19.049880264009204
0.75,-3.3048854307691157e-24,4.739303702359713e-16,-19.098736454915787
0.8,-1.8821590109849165e-25,-2.8695597908966225e-15,-19.109834371810862
0.85,9.412410642058475e-24,-6.582577779450986e-15,-18.998214295897753
0.9,-1.3894049351476637e-24,-1.3583907524725776e-14,-18.44513518877136
0.95,6.365413307536971e-24,-5.010728690461588e-14,-16.67240584692221
1.0,-6.979336418416171e-24,-1.5101335974881556e-13,-15.270157235982865
