mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green
0.005,3.4638958368304884e-13,-4.288236432614667e-15,2.2594773274597912e-15,-2.048708425128609e-15,0.05107338932868687,0.00014922244366697888,-0.05099919783283546
0.01,-4.831690603168681e-13,-5.6968318951078345e-15,-2.8727020762175925e-15,2.9967348047499343e-15,0.05114159627949318,-0.00011728038986313222,-0.05106683536259027
0.015,1.5756285165480222e-12,-1.061650767297806e-14,7.240735788727193e-15,-6.366435156834882e-15,0.050299423203052245,0.0004951698265392313,-0.05118372398557369
0.02,1.2256862191861728e-13,7.424616477180734e-16,4.85722573273506e-17,-7.979727989493313e-16,0.05120370909080736,0.00012923346148395552,-0.0513625517648002
0.025,8.348877145181177e-14,2.0816681711721685e-16,-5.273559366969494e-16,-1.8388068845354155e-16,0.05146071171176841,0.00011861486224841802,-0.05162224551691352
0.03,5.1514348342607263e-14,-2.983724378680108e-16,-5.828670879282072e-16,-2.688821387764051e-17,0.05181322582983682,0.00010521348855817812,-0.05197265891754199
0.04,2.4868995751603507e-14,-4.40619762898109e-16,-1.0408340855860843e-16,-2.42861286636753e-17,0.05273853563288729,8.472239708135453e-5,-0.05287514612095201
0.05,5.062616992290714e-14,-5.169475958410885e-16,-1.6306400674181987e-16,-3.469446951953614e-17,0.053681338739696424,8.07046802053582e-5,-0.05378827795297081
0.06,2.7533531010703882e-14,-9.71445146547012e-17,-1.5785983631388945e-16,-7.979727989493313e-17,0.054340810002108914,8.840490293291706e-5,-0.054426323161500534
0.08,1.9539925233402755e-14,-3.122502256758253e-17,-1.3704315460216776e-16,-6.678685382510707e-17,0.05439205923633543,0.00010707709921276053,-0.054435697082798384
0.1,-7.993605777301127e-15,1.734723475976807e-18,2.949029909160572e-17,-8.456776945386935e-17,0.05303303776190303,0.00010921528417092785,-0.05296479908447793
