eta,Drude,BCD,dQM,Green_Dr,app_QM,Green_tot
0.065,-0.2504046135413446,-0.21662086052693974,-0.02197540536579408,0.08215316061120906,0.031491643029777736,0.0
0.07,-0.11123560781497599,-0.0898636467768754,-0.037829330366756515,0.07628507771040856,0.03049763458034538,0.0
0.075,-0.053863386844722486,-0.04046102649483758,-0.0416537425028593,0.0711994058630479,0.029532515894677813,0.0
0.08,-0.020113701230627355,-0.012431601221572672,-0.04081606193058721,0.06674944299660747,0.028600899156979512,0.0
0.09,0.01715868927161016,0.018466939790473282,-0.033506721740926323,0.05933283821920675,0.026846786654071742,0.0
0.1,0.03491006966274604,0.03416657609749647,-0.023650586841991235,0.05339955439728604,0.025240803654656696,0.0
0.11,0.042493521910056065,0.04190341581659248,-0.013631279947659725,0.04854504945207812,0.023777201276802766,0.0
0.12,0.04378577686877345,0.04418816786455606,-0.0045193508724636535,0.044499628664405,0.02244547466733474,0.0
0.13,0.04069068533891121,0.042069246713847055,0.0030834805854654127,0.04107658030560453,0.02123355766199536,0.0
0.14,0.03417160118309347,0.03600729152841086,0.008797558035390417,0.03814253885520428,0.020129375113935574,0.0
0.15,0.024579779339292587,0.02611351474850922,0.012372762499405318,0.03559970293152395,0.019121561871674835,0.0
0.16,0.011608689584590935,0.012058414802090007,0.013634693997173796,0.033374721498303735,0.018199755433101483,0.0
