mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_M
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20088472891420256
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055635452446648
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3653180545802535
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40956841121631243
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4571162146484102
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5231498049146915
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6252338492524653
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7915423514588731
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0762374168080824
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5673012597135325
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2418659093526652
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.55147821155505
0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.1535542743075
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071196442855793
0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4469702378530835
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18766523074380118
0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08133070681458857
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038188808631099525
0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019691521249340205
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011484343611568484
0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0077947343985062395
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006141108464293832
0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005404834598513722
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005063925556956145
