mu,Drude,BCD,ChS,gBC,Green
-0.2,6.310263597459136e-16,-0.37277441281127155,-5.927245975473472e-18,0.005005056232618315,0.0
-0.19,-4.698413170245491e-16,-0.3733936863413609,3.7103455218093936e-18,0.00562836223964129,0.0
-0.18,1.244312948800542e-16,-0.37413612101842797,-1.1742920471161818e-17,0.006376042709669066,0.0
-0.17,-1.2129257637212761e-15,-0.3750333193607062,1.1146786397008537e-17,0.00728002798847049,0.0
-0.16,-9.242801732563844e-16,-0.37612512047365376,6.551584733076354e-18,0.00838049566661914,0.0
-0.15,-6.852303153911059e-17,-0.377460618211623,5.7624428021930595e-18,0.009726780204994383,0.0
-0.14,-7.323847614249364e-16,-0.37909781377979307,2.3999627548025366e-17,0.011376766239958345,0.0
-0.13,7.833586122539604e-16,-0.3810998439233877,-1.3666812012778928e-17,0.013392548265233365,0.0
-0.12,-1.2869215694014361e-15,-0.3835236605557079,-9.371083412509786e-18,0.015827932530713913,0.0
-0.11,-6.594559141614536e-16,-0.38639330249486803,1.23896358391085e-17,0.01869939172620923,0.0
-0.1,2.027227085937014e-16,-0.38964366823657137,1.3627414217958602e-17,0.02192556822381652,0.0
-0.09,1.123494092201154e-16,-0.39301185356834534,1.2208379970614253e-17,0.02521156298403773,0.0
-0.08,-6.054182323754478e-16,-0.39584539597195306,-1.474321772536833e-18,0.02784806731978041,0.0
-0.07,-5.613731184978851e-17,-0.39680652005472183,3.7118819678712006e-17,0.028411996762594094,0.0
-0.06,-1.2299174720330178e-16,-0.39352515272182265,2.241355039500964e-18,0.024448596675610064,0.0
-0.05,7.891939818037445e-17,-0.3824793864969972,3.367474569005037e-17,0.012475736427664204,0.0
-0.04,-6.266444988342491e-17,-0.3598071000225692,6.27284455162775e-17,-0.010927571701093545,0.0
-0.03,3.374502413145825e-16,-0.3240017565900311,1.926772100449422e-17,-0.04618693375520244,0.0
-0.02,-2.7358230871632016e-17,-0.2802173288744047,1.9465462922145437e-17,-0.08704436453633581,0.0
-0.01,1.1656570450997716e-16,-0.24232241076398411,-1.3820713046324277e-19,-0.12052755584619976,0.0
0.0,1.2311008627831754e-16,-0.22710645408721877,1.1813784864705282e-17,-0.13348548369527583,0.0
0.01,4.373908084383164e-17,-0.2423224107639844,4.3858908592597385e-18,-0.1205275558462001,0.0
0.02,1.727469276846966e-16,-0.2802173288744047,1.783466880600328e-17,-0.08704436453633639,0.0
0.03,1.5246218110810948e-16,-0.3240017565900312,2.3964596550408004e-17,-0.046186933755202525,0.0
0.04,2.498346439838138e-16,-0.3598071000225696,1.756086657283565e-17,-0.01092757170109351,0.0
0.05,4.608082632096881e-16,-0.3824793864969976,4.1004284318657723e-17,0.012475736427664119,0.0
0.06,-3.7353488034773416e-16,-0.3935251527218236,5.516615310878617e-18,0.024448596675610026,0.0
0.07,-1.974048502118172e-16,-0.39680652005472267,3.6571613433292205e-17,0.028411996762594018,0.0
0.08,-2.4212406205940125e-16,-0.3958453959719538,3.184350944071947e-17,0.027848067319780383,0.0
0.09,4.1904913650225344e-16,-0.39301185356834784,8.146067419248329e-18,0.025211562984037737,0.0
0.1,-1.9702947215163665e-16,-0.3896436682365748,-4.769101961800528e-18,0.02192556822381655,0.0
0.11,1.766638403758584e-16,-0.38639330249487364,1.3104584186838902e-17,0.01869939172620928,0.0
0.12,-1.5467690816704008e-15,-0.38352366055571846,-1.0714110105846754e-17,0.015827932530714028,0.0
0.13,-3.673829168206607e-17,-0.3810998439234067,-1.964353184185923e-17,0.013392548265233539,0.0
0.14,-4.68939176420889e-16,-0.3790978137798213,2.342599839426659e-17,0.011376766239958664,0.0
0.15,-9.413308252559689e-16,-0.377460618211671,1.4775710977593087e-17,0.009726780204994918,0.0
0.16,-7.492854143872036e-16,-0.3761251204737349,1.5201291850860494e-17,0.00838049566662002,0.0
0.17,-7.214039100894894e-16,-0.37503331936084155,1.012450756070025e-17,0.007280027988471959,0.0
0.18,-6.054229510000952e-16,-0.3741361210186498,-3.3498223224475226e-18,0.006376042709671482,0.0
0.19,-1.3734851601942852e-15,-0.3733936863417263,1.56549202821992e-19,0.005628362239645273,0.0
0.2,1.4285171605080498e-15,-0.3727744128118748,1.239909825001925e-18,0.005005056232624887,0.0
