mu,Drude,BCD,dQM,app_QM,Green
-0.2,1.2246494414400086,0.011763219385483283,-0.01110746563323652,0.01151008906151728,0.05387122384799925
-0.18,1.0321368293549893,0.014589410907024885,-0.01141816827767267,0.011992333065116092,0.04400699955997551
-0.16,0.8496174253579373,0.017676760842675235,-0.011151656483245277,0.011983160225516622,0.03530980709381875
-0.14,0.6856021106120547,0.020960519643643576,-0.010453846403383833,0.011641266290731362,0.027911445913184247
-0.12,0.5443516394808108,0.024403808588707585,-0.009497627722047028,0.011162684247200048,0.02182830131032429
-0.1,0.42672702508301397,0.027973581485662664,-0.008407635679964146,0.010700640416720782,0.01699244728379539
-0.08,0.33183054130906525,0.03159131239350937,-0.0072555303899464,0.010336874219325262,0.013290054741578926
-0.06,0.25840587231791606,0.035072556560056325,-0.006103491126720553,0.01009014172277187,0.010591401998494891
-0.04,0.20569825881592638,0.038084326399931534,-0.005060359260597978,0.009941651033798047,0.008771578415935791
-0.02,0.17372978057761568,0.040176392861517474,-0.0043039673328135125,0.009863929758780098,0.007726240277674276
0.0,0.16298078983393388,0.04093157461089644,-0.004023729572958857,0.00983964677962487,0.007385869797911606
0.02,0.17372978057761568,0.040176392861517474,-0.0043039673328135125,0.009863929758780098,0.007726240277674276
0.04,0.20569825881592638,0.038084326399931534,-0.0050603592605979785,0.009941651033798047,0.008771578415935791
0.06,0.258405872317916,0.035072556560056325,-0.006103491126720553,0.01009014172277187,0.010591401998494891
0.08,0.33183054130906525,0.03159131239350937,-0.007255530389946401,0.010336874219325262,0.013290054741578926
0.1,0.42672702508301397,0.027973581485662664,-0.008407635679964146,0.010700640416720784,0.01699244728379539
0.12,0.5443516394808108,0.024403808588707585,-0.009497627722047028,0.011162684247200048,0.021828301310324292
0.14,0.6856021106120547,0.020960519643643576,-0.010453846403383833,0.011641266290731362,0.027911445913184244
0.16,0.8496174253579373,0.01767676084267523,-0.011151656483245277,0.011983160225516622,0.03530980709381875
0.18,1.0321368293549893,0.014589410907024885,-0.01141816827767267,0.011992333065116092,0.04400699955997551
0.2,1.2246494414400086,0.011763219385483283,-0.011107465633236521,0.01151008906151728,0.05387122384799925
