mu,Drude,BC,dQM,BC2,Green_Dr,dQM2
0.01,12.732106771370011,0.0018642064376775058,-1.4779590683062589e-5,-0.001877670862705726,12.732880540512971,4.571225952812639e-5
0.02,6.3649292275492995,0.0033737772754754087,-2.3793626254886176e-5,-0.003388751426214182,6.3664402702564855,7.346643326627437e-5
0.03,4.24211708058877,0.004368377439782062,-2.6299399440359675e-5,-0.004371468991628749,4.244293513504332,8.089317741239254e-5
0.04,3.180458435297735,0.004888056662992025,-2.4893770157493285e-5,-0.004871424939513012,3.1832201351282428,7.626052275918023e-5
0.05,2.5427717845631417,0.005062250109869972,-2.2109249255567156e-5,-0.005022541582845085,2.5465761081025926,6.896465044837544e-5
0.06,-3.401195796870607,0.005089640993009185,0.00022081852187556898,0.007054267944806648,2.122146756752166,-0.019673992771121848
0.07,1.7785303850541985,-0.0007045757466526027,0.0031845554792188885,-0.004741503125944714,1.818982934358998,6.961676720066372e-5
0.08,1.5898153651381135,-0.000440392701680812,0.0022364767127514727,-0.004649708315606536,1.5916100675641214,-2.8593563711523924e-5
0.09,1.4137683905187897,-0.00017100885625188363,0.0015965195115287395,-0.004437791949179507,1.4147645045014379,-1.8611868007137174e-5
0.1,1.2728007779004051,7.507068007084486e-5,0.0011595196586621649,-0.00421462526017447,1.2732880540512963,-1.1500182888740366e-5
0.11,1.157363977900071,0.00028757619610629944,0.0008566435832576396,-0.003992506948141768,1.1575345945920943,-6.074103094896497e-6
0.12,1.0610525844817582,0.0004649496901443059,0.0006432746758806073,-0.003777800001557524,1.061073378376083,-1.9029967185551841e-6
0.13,0.9794410861683246,0.000609668108399851,0.0004904587268749391,-0.0035735837634479316,0.979452349270231,1.2600750988753494e-6
0.14,0.9093788138205131,0.0007257405760993737,0.00037924073898595856,-0.003381108045866874,0.909491467179499,3.5892431577702753e-6
0.15,0.8485650050935083,0.0008174676254228094,0.00029705499552841355,-0.003200629675570311,0.8488587027008684,5.223946762302599e-6
0.16,0.7952820580045472,0.0008888800931690413,0.00023545058939088755,-0.0030318849620430527,0.7958050337820607,6.296806290875034e-6
0.17,0.7482006544088359,0.0009435225379212043,0.00018865572278714597,-0.002874271337784218,0.7489929729713568,7.021537077921422e-6
0.18,0.7025816770055332,0.000984344126795841,0.0001526870459565631,-0.0027144654003450246,0.7073822522507189,2.5101810152578745e-6
0.19,-8.578511671464257,-0.0004046527478219195,0.0002986169024505766,0.03266301005012477,0.6701516073954197,0.011857171849106509
0.2,0.6355067138914139,-0.0004392066497879812,0.0002073573472200246,-0.0024955867389133838,0.6366440270256482,-5.9348656230090514e-6
