mu,ZXY1,ZXY_im,Gr
-0.2,-2.3391999448563183e-10,0.0,3.421779806326361
-0.19,-6.358154003294203e-10,0.0,1.3649614581201965
-0.18,-1.7283908748666477e-9,0.0,-1.120628222440283
-0.17,-4.698201272468339e-9,0.0,-3.9395838244451595
-0.16,-1.2771060986516147e-8,0.0,-7.028723326666089
-0.15,-3.4715418428810096e-8,0.0,-10.37087924059403
-0.14,-9.436677306240426e-8,0.0,-13.976901792492168
-0.13,-2.5651971802265194e-7,0.0,-17.873539923221454
-0.12,-6.973243987795641e-7,0.0,-22.100053673771157
-0.11,-1.8957563928667653e-6,0.0,-26.70969961341816
-0.1,-5.1549140959172846e-6,0.0,-31.773482485293098
-0.09,-1.4025140552265114e-5,0.0,-37.383134358670944
-0.08,-3.821694381633822e-5,0.0,-43.66237769898362
-0.07,-0.00010455562494426918,0.0,-50.804033591312184
-0.06,-0.0002889048330361188,0.0,-59.137255446935
-0.05,-0.0008148766951162623,0.0,-69.19176472908255
-0.04,-0.0023429467924659386,0.0,-81.66744311137884
-0.03,-0.006123971314047627,0.0,-97.08390392549173
-0.02,-0.00960942165657197,0.0,-114.61876943772273
-0.01,-0.005778331026019268,0.0,-130.17435236970027
0.0,2.3120394487818885e-14,0.0,-136.68106680822203
0.01,0.00577833102599612,0.0,-130.17439865930282
0.02,0.00960942165667028,0.0,-114.61886417528731
0.03,0.0061239713139056295,0.0,-97.08404861182868
0.04,0.002342946792418088,0.0,-81.66763855005723
0.05,0.0008148766950807351,0.0,-69.19201517613268
0.06,0.0002889048329877131,0.0,-59.13757054179974
0.07,0.00010455562496847204,0.0,-50.80442900665341
0.08,3.821694377958984e-5,0.0,-43.66288240230907
0.09,1.4025140567142103e-5,0.0,-37.38380580700081
0.1,5.154914088367768e-6,0.0,-31.774294517529633
0.11,1.8957563349131235e-6,0.0,-26.710387483791404
0.12,6.973243465990819e-7,0.0,-22.100590945460144
0.13,2.565198069515162e-7,0.0,-17.873984616819428
0.14,9.436678138907695e-8,0.0,-13.977284207236616
0.15,3.4715380459182654e-8,0.0,-10.371215844856655
0.16,1.2771046553616827e-8,0.0,-7.029023935343455
0.17,4.698196054420123e-9,0.0,-3.9398536308019683
0.18,1.728341025852842e-9,0.0,-1.1208699388153676
0.19,6.358500392877886e-10,0.0,1.3647448288011101
0.2,2.3391577563813826e-10,0.0,3.4215852084067455
